t,step,label,ts
429,19,19_cb_advances,1757768174502541973
430,19,19_cb_advances,1757768174512318139
431,19,19_cb_advances,1757768174521481317
432,19,19_cb_advances,1757768174533171243
433,19,19_cb_advances,1757768174543553544
434,19,19_cb_advances,1757768174551598628
435,19,19_cb_advances,1757768174561695320
436,19,19_cb_advances,1757768174573750514
437,19,19_cb_advances,1757768174584652749
438,19,19_cb_advances,1757768174596489860
439,19,19_cb_advances,1757768174608893264
440,19,19_cb_advances,1757768174621041262
441,19,19_cb_advances,1757768174632638836
442,19,19_cb_advances,1757768174644536157
443,19,19_cb_advances,1757768174656614679
444,19,19_cb_advances,1757768174668741473
445,19,19_cb_advances,1757768174679808450
446,19,19_cb_advances,1757768174690650127
447,19,19_cb_advances,1757768174703660216
448,19,19_cb_advances,1757768174718964845
449,19,19_cb_advances,1757768174738335936
450,19,19_cb_advances,1757768174751047901
451,19,19_cb_advances,1757768174764558798
452,19,19_cb_advances,1757768174776296928
453,19,19_cb_advances,1757768174791326864
454,19,19_cb_advances,1757768174802857038
455,19,19_cb_advances,1757768174814490406
456,19,19_cb_advances,1757768174829614409
457,19,19_cb_advances,1757768174840812055
458,19,19_cb_advances,1757768174853614608
459,19,19_cb_advances,1757768174865547029
460,19,19_cb_advances,1757768174878208959
461,19,19_cb_advances,1757768174888751833
462,19,19_cb_advances,1757768174901193173
463,19,19_cb_advances,1757768174914058083
464,19,19_cb_advances,1757768174924767062
465,19,19_cb_advances,1757768174937183409
466,19,19_cb_advances,1757768174947745417
467,19,19_cb_advances,1757768174958750966
468,19,19_cb_advances,1757768174969678595
469,19,19_cb_advances,1757768174980512198
470,19,19_cb_advances,1757768174993059613
471,19,19_cb_advances,1757768175004546227
472,19,19_cb_advances,1757768175016833533
473,19,19_cb_advances,1757768175029851353
474,19,19_cb_advances,1757768175042150405
475,19,19_cb_advances,1757768175053205673
476,19,19_cb_advances,1757768175065139255
477,19,19_cb_advances,1757768175081026880
478,19,19_cb_advances,1757768175091400990
479,19,19_cb_advances,1757768175103393496
480,19,19_cb_advances,1757768175114604701
481,19,19_cb_advances,1757768175124596453
482,19,19_cb_advances,1757768175137332773
483,19,19_cb_advances,1757768175150369402
484,19,19_cb_advances,1757768175162511662
485,19,19_cb_advances,1757768175177070657
486,19,19_cb_advances,1757768175189603053
487,19,19_cb_advances,1757768175201067995
488,19,19_cb_advances,1757768175212759525
489,19,19_cb_advances,1757768175224034243
490,19,19_cb_advances,1757768175235565539
491,19,19_cb_advances,1757768175247789474
492,19,19_cb_advances,1757768175258551702
493,19,19_cb_advances,1757768175269375859
494,19,19_cb_advances,1757768175280499862
495,19,19_cb_advances,1757768175290831028
496,19,19_cb_advances,1757768175302299422
497,19,19_cb_advances,1757768175313912215
498,19,19_cb_advances,1757768175324146226
499,19,19_cb_advances,1757768175336823623
500,19,19_cb_advances,1757768175347867322
501,19,19_cb_advances,1757768175358355469
502,19,19_cb_advances,1757768175369145837
503,19,19_cb_advances,1757768175381002577
504,19,19_cb_advances,1757768175392632351
505,19,19_cb_advances,1757768175406276776
506,19,19_cb_advances,1757768175419068193
507,19,19_cb_advances,1757768175428520413
508,19,19_cb_advances,1757768175439041098
509,19,19_cb_advances,1757768175449429775
510,19,19_cb_advances,1757768175461270870
511,19,19_cb_advances,1757768175471028903
